# max_time,max,min_time,min
1.166666666666666741e+00,1.220985672392474441e+01,5.999999999999999778e-01,-1.314841072207305039e+01
3.933333333333333126e+00,1.104550650662649502e+01,3.333333333333333481e+00,-1.361292619288988348e+01
7.466666666666666785e+00,7.877379611449919494e+00,6.466666666666666785e+00,-1.377892666085385187e+01
1.073333333333333250e+01,1.013555460198544722e+01,1.019999999999999929e+01,-1.284192707822319157e+01
1.359999999999999964e+01,8.282258322078229540e+00,1.296666666666666679e+01,-1.438725302503446812e+01
1.726666666666666572e+01,8.028276776195305331e+00,1.676666666666666572e+01,-1.425193857629939664e+01
2.206666666666666643e+01,7.878094007808199351e+00,2.143333333333333357e+01,-1.376017244191715072e+01
2.630000000000000071e+01,7.782458260970792630e+00,2.596666666666666501e+01,-1.460733596539630597e+01
3.110000000000000142e+01,6.298559665679931641e+00,3.050000000000000000e+01,-1.215396552316656553e+01
3.533333333333333570e+01,5.065214107112980813e+00,3.503333333333333144e+01,-1.126739259095737111e+01
4.066666666666666430e+01,5.584917520179714323e+00,4.006666666666666998e+01,-1.216349599231716994e+01
4.520000000000000284e+01,6.015119791030891783e+00,4.479999999999999716e+01,-1.093015943499156428e+01
4.993333333333333002e+01,5.359243392944335049e+00,4.933333333333333570e+01,-1.095909540768250601e+01
5.510000000000000142e+01,-1.193032542897422665e+01,5.860000000000000142e+01,3.541639572024930516e+00

mean min, -11.73724000284125
mean max, 6.4022938470723405
count per minute, 14.015572858731925